search_method,search_step,search_phase,acquisition_expected_improvement,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,roc_auc,gini,average_precision,log_loss
bayesian,55,bayesian_expected_improvement,6.112936542940767e-05,270,5,0.015295849549064162,0.6353764578940301,0.894198365401412,0.9639031713215578,16.115939256661445,0.06076462601053148,2.3943448587758622,0.7685659431361371,0.5371318862722743,0.6663386560580465,0.5474592487221001
bayesian,51,bayesian_expected_improvement,0.0002087414086157817,169,4,0.03530268361903531,1.1097177425406255,0.8622719623769799,0.9586979033628724,2.0373144263681304,1.1499985099527883,2.7565435263690095,0.7679725958308875,0.535945191661775,0.6663473394140981,0.5476069202011019
bayesian,73,bayesian_expected_improvement,6.260228446691279e-05,166,2,0.1667793859615502,9.093607345599318,0.740006633633577,0.8248466761284575,4.321930495104848,0.04689245868580206,1.7394212710183616,0.7674062670190019,0.5348125340380039,0.6662083427870015,0.5478414232199155
bayesian,34,bayesian_expected_improvement,0.00035791044215606927,874,2,0.044174465276826905,2.9892605152573806,0.7751954560805566,0.8843240471304494,15.366587685364225,0.1884100361507361,1.708124738767453,0.7667180900997883,0.5334361801995766,0.6658518476169133,0.5493951903976823
bayesian,24,bayesian_expected_improvement,0.0012606859507040898,853,4,0.015267284775427381,1.1628767280893182,0.9670204022021309,0.8752059323387107,22.879994476114334,0.0005405927886782902,0.8902434993195583,0.765302532957264,0.530605065914528,0.6614903789761108,0.5471596899811625
bayesian,69,bayesian_expected_improvement,1.6609263765514689e-06,157,5,0.03357779937066856,5.908999341375378,0.8944073205388411,0.7302694232152598,0.2425256223447256,0.0001898412226923555,2.5732665771744907,0.7651783008652275,0.5303566017304551,0.6646324242961106,0.5448139632730273
bayesian,48,bayesian_expected_improvement,4.7209958179789054e-05,867,3,0.02733309756529378,11.783745491109604,0.872562721185253,0.6972228393330346,6.986620696047746,0.000615356394651143,1.519124673188323,0.7647679906081599,0.5295359812163198,0.6633102262736732,0.547231556290874
bayesian,5,random_initialization,,378,2,0.082130167622141,2.0252256736085053,0.6927133821956726,0.8233119185389446,0.2361237272029003,1.8744302901656154,0.7763399448000508,0.7647346148222396,0.5294692296444792,0.6631038813070969,0.5504084925687169
bayesian,8,random_initialization,,418,3,0.05777749309100477,0.7824835277484637,0.9307689432639139,0.6760927252879199,23.466217664982977,0.425358393373768,0.5961470446025172,0.764264704947457,0.528529409894914,0.6638124963141214,0.5472392358548402
bayesian,15,random_initialization,,764,5,0.015261382170451412,2.534598497161948,0.7960938511020726,0.7277377336647556,0.35676059916966063,0.0038587226423781227,2.8287291117375575,0.7636872508735979,0.5273745017471958,0.6604978106018051,0.5384831537979938
bayesian,9,random_initialization,,154,4,0.08687972711860317,5.071703930889605,0.919944621340081,0.6759156281069316,1.1290167137050957,0.0003503202443763074,2.5893102776267805,0.7610961243825479,0.5221922487650958,0.6596041365323075,0.5486475673369987
bayesian,18,random_initialization,,517,5,0.02737239311420756,4.233105017154283,0.9165668653650512,0.7331731403973399,6.7302957471954326,0.005348129426024156,1.8969174917807385,0.7605279413603334,0.5210558827206668,0.6584176779669287,0.5427268849484681
bayesian,6,random_initialization,,647,3,0.05461839251464136,2.8414870287029292,0.7146990594339345,0.9893546197175955,8.441386284468331,2.5982285195767814,2.6844820512829464,0.7604249002434843,0.5208498004869686,0.6577469011677695,0.5495816296196382
bayesian,7,random_initialization,,598,5,0.018689199831691466,0.9321112597882844,0.6658295511186884,0.7638656157671425,1.3063251742642574,0.001883913511943895,2.486212527455788,0.7601923292908017,0.5203846585816034,0.658425474642274,0.5386946224289408
bayesian,14,random_initialization,,290,5,0.05729797739321641,6.5074072001284,0.9636319549732226,0.7613012162401523,0.3402506614568502,0.0011777700105344128,1.281323365878769,0.7564232494665172,0.5128464989330344,0.6522631249272199,0.5441591512731931
bayesian,3,random_initialization,,474,3,0.06861063335466945,0.7789346062454279,0.7522506269873264,0.7782266451527922,1.8087048877487224,0.48923586931905244,0.5990213464750792,0.7559981055268183,0.5119962110536367,0.654922809510424,0.5512107523582255
bayesian,11,random_initialization,,240,4,0.099338183861902,2.9761245484796817,0.9198385129840964,0.8228284587275367,2.495477736951124,0.01020945174752076,0.07625738023228557,0.7517969946958989,0.5035939893917978,0.6487817760142534,0.5508372949705564
bayesian,16,random_initialization,,392,4,0.08605500518618482,1.5880189088804046,0.9901237289523362,0.9868565532297389,0.6745199713255957,0.02170480127566611,0.902634929450309,0.7492212316618598,0.49844246332371966,0.6485704161673496,0.5515933016321525
bayesian,2,random_initialization,,681,2,0.167032038685847,7.045579103286426,0.7243186887373967,0.7136387385224853,0.48485597154925786,0.0026892128247368906,1.5742692948967134,0.7480043399117184,0.4960086798234369,0.6398621973037223,0.563767209141761
bayesian,38,bayesian_expected_improvement,6.098491868687981e-05,870,5,0.06583738180071799,0.6601913516963716,0.8524518148216635,0.7215471249022779,4.576547158614741,0.0037784300081969645,1.5664192970150381,0.7450317758672935,0.49006355173458704,0.6398280648758251,0.5440764553344465
bayesian,1,random_initialization,,431,5,0.09247948301880883,3.351545920546186,0.7046065241548528,0.7045980821176709,0.264743986168901,1.1752647960576206,1.8033450352296265,0.7412383264215436,0.4824766528430873,0.6339209249486684,0.5519717098156474
