threshold,precision,recall,f1
0.7449999999999999,0.8394366197183099,0.33184855233853006,0.475658419792498
0.7499999999999999,0.8448275862068966,0.3273942093541203,0.4719101123595506
0.7549999999999999,0.8470588235294118,0.3207126948775056,0.46526655896607433
0.7599999999999999,0.8473053892215568,0.3151447661469933,0.4594155844155844
0.7649999999999999,0.8489425981873112,0.3129175946547884,0.45728234336859236
0.7699999999999999,0.8532110091743119,0.3106904231625835,0.45551020408163256
0.7749999999999999,0.8726114649681529,0.3051224944320713,0.4521452145214522
0.7799999999999999,0.8758169934640523,0.2984409799554566,0.4451827242524917
0.7849999999999999,0.8855218855218855,0.29287305122494434,0.44016736401673645
0.7899999999999999,0.8873720136518771,0.289532293986637,0.43660789252728804
0.7949999999999999,0.8958333333333334,0.2873051224944321,0.4350758853288365
0.7999999999999999,0.901060070671378,0.28396436525612473,0.4318374259102455
0.8049999999999999,0.9021739130434783,0.27728285077951004,0.42419080068143106
0.8099999999999999,0.9029850746268657,0.26948775055679286,0.4150943396226415
0.815,0.9018867924528302,0.2661469933184855,0.411006018916595
0.82,0.9034749034749034,0.26057906458797325,0.4044943820224719
0.825,0.90234375,0.2572383073496659,0.4003466204506066
0.83,0.9043824701195219,0.25278396436525613,0.3951261966927763
0.835,0.9036144578313253,0.2505567928730512,0.39232781168265035
0.84,0.9090909090909091,0.24498886414253898,0.38596491228070173
0.845,0.9117647058823529,0.24164810690423164,0.38204225352112675
0.8499999999999999,0.9188034188034188,0.23942093541202672,0.37985865724381623
0.8549999999999999,0.9170305676855895,0.23385300668151449,0.3726708074534162
0.8599999999999999,0.9241071428571429,0.23051224944320714,0.36898395721925137
0.8649999999999999,0.9311926605504587,0.22605790645879734,0.36379928315412186
0.8699999999999999,0.9295774647887324,0.22048997772828507,0.3564356435643564
0.8749999999999999,0.9278846153846154,0.21492204899777284,0.34900542495479203
0.8799999999999999,0.9303482587064676,0.20824053452115812,0.34030937215650586
0.8849999999999999,0.9282051282051282,0.20155902004454343,0.3311985361390668
0.8899999999999999,0.9351351351351351,0.19265033407572382,0.319482917820868
0.8949999999999999,0.935672514619883,0.17817371937639198,0.2993451824134706
0.8999999999999999,0.9345238095238095,0.17483296213808464,0.29455909943714825
0.9049999999999999,0.9426751592356688,0.16481069042316257,0.28056872037914693
0.9099999999999999,0.9470198675496688,0.15924276169265034,0.27264061010486174
0.9149999999999999,0.9463087248322147,0.15701559020044542,0.26934097421203435
0.9199999999999999,0.9642857142857143,0.15033407572383073,0.26011560693641617
0.9249999999999999,0.9632352941176471,0.14587973273942093,0.25338491295938104
0.9299999999999999,0.96875,0.13808463251670378,0.2417153996101364
0.9349999999999999,0.9827586206896551,0.12694877505567928,0.22485207100591714
0.94,0.9805825242718447,0.11247216035634744,0.2017982017982018
0.945,0.9764705882352941,0.09242761692650334,0.16887080366225837
0.95,0.9672131147540983,0.06570155902004454,0.12304483837330552
